GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
070810A	11.0	2.17 (Keck I: absorption)
070802	16.4	2.45 (VLT)
070724A	0.4	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
070721B	340	proposed redshift 3.626 (VLT)
070714B	64	0.92 (Gemini: emission, from host)
070612A	368.800	0.617 (Gemini North: emission)
070611	12.200	2.04 (VLT)
070529	109.200	2.4996 (Gemini North: absorption)
070521	37.900	0.553 (Subaru: emission)
070508	20.900	0.82 (VLT: emission, tentative)
070506	4.300	2.31 (VLT: absorption)
070429B	0.470	0.904 (Keck I: from probable host)
070419A	115.600	0.97 (Keck I: absorption)
070411	121.500	2.954 (VLT: absorption)
070318	74.600	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
070306	209.500	possible redshift:|1.497 (VLT: emission)
070208	47.700	1.165 (Gemini-North: emission)
070129	460.600	2.3384 (TOUGH: emission)
070110	88.400	2.352 (VLT: absorption)
070103	18.600	2.6208 (TOUGH: emission)
061222B	40.000	3.355 (Magellan: absorption)
061222A	71.400	2.088 (Perley)
061217	0.210	0.827 (Magellan: emission)
061210	85.300	0.41 possible host redshift (Keck: emission)
061201	0.760	0.111 (Magellan, from probable host)
061121	81.300	1.314 (Keck I: absorption)
061110B	134.000	3.44 (VLT)
061110A	40.700	0.758 (VLT: emission)
061021	46.200	0.3463 (Fynbo)
061007	75.300	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	22.500	5.6 (VLT: absorption)
060926	8.000	3.208 (VLT: absorption)
060912A	5.000	probably host redshift:|0.937 (VLT: emission)
060908	19.300	1.8836 (Fynbo)
060906	43.500	3.685 (VLT: absorption)
060904B	171.500	0.703 (VLT: absorption)
060814	145.300	0.84 (Keck I: emission, from host)
060729	115.300	0.54 (VLT, Gemini South: absorption)
060719	66.900	1.5320 (TOUGH: emission)
060714	115.000	2.71 (VLT: absorption)
060708	10.200	Z<2.3 (VLT)
060707	66.200	3.43 (VLT: absorption)
060614	108.700	0.13 (Gemini: emission)|0.125 (VLT: emission)
060607A	102.200	3.082 (VLT: absorption)
060605	79.100	3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	95.000	2.1357 (TOUGH: emission)
060602A	75.000	0.787 (VLT: emission, probable)
060526	298.200	3.21 (Magellan: absorption)
060522	71.100	5.11 (Keck I: absorption)
060512	8.500	0.4428 (Keck I: emission)
060510B	275.200	4.9 (Gemini)
060505	~4	0.089 (Gemini: emission)
060502B	0.131	0.287 (Keck I-candidate: absorption)
060502A	28.400	~1.51 (Gemini: absorption)
060418	103.100	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	11.300	4.41 (Keck: absorption)
060218	~2100	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	255.000	3.91 (Gemini: absoption)
060206	7.600	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
060124	~750	2.30 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060123	900	1.099 (probable, Gemini: emission)
060116	105.900	~4.0 or ~6.6 (VLT: photometric)
060115	139.600	3.53 (VLT: absoprtion)
060108	14.300	2.03 (Liverpool: photometric)
051221A	1.400	0.547 (Gemini: emission)
051117B	9.000	0.481 (TOUGH: emission)
051111	46.100	1.549 (Keck: absorption)
051109B	14.300	0.080 (Keck I: emission)
051109A	37.200	2.346 (HET: absorption)
051016B	4.000	0.9364 (Keck: emission)
051006	34.800	1.059 (TOUGH: emission)
051001	189.100	2.4296 (TOUGH: emission)
050922C	4.500	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	52.000	2.5273 (TOUGH: emission)
050908	19.400	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
050904	174.200	6 < z < 8 (SOAR, UNC: photometric)|6.10 (VLT: photometric)|6.29 (Subaru: absorption)
050826	35.500	0.297 (MDM: emission from host)
050824	22.600	0.83 (VLT: emission)
050820A	26	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	37.700	2.5043 (TOUGH: emission)
050814	150.900	5.3 (NOT: photometric)
050813	0.450	1.8
050803	87.900	possible redshift:|0.422 (Keck: emission)
050802	19.000	1.71 (NOT: absorption)|1.434 (TOUGH: emission)
050730	156.500	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	96.000	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	8.800	0.606 (GMOS: emission)
050509B	0.073	0.225 (Keck: absorption)
050505	58.900	4.27 (Keck: absorption)
050416A	2.500	0.6535 (Keck: emission)
050406	5.400	2.44 (UVOT: photometric)
050401	33.300	2.9 (VLT: absorption)
050319	152.500	3.24 (NOT: absorption)
050318	32	1.44 (Magellan: absorption)
050315	95.600	1.949 (Magellan: absorption)
050223	22.500	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	24.800	1.29 (Keck: emission)
